dataset,item_id,original_text,explanation_text,ground_truth_label,clarity_score,evidence_score,attribution_score,auditability_score,actionability_score,total_score,task_performance,timestamp,premise,hypothesis
CoLA,cola_10,"The more Fred is obnoxious, the less attention you should pay to him.","This sentence is grammatically acceptable: 'The more Fred is obnoxious, the less attention you should pay to him.'. It follows standard English syntax and semantic rules.",1,1.5,1.0,1.0,1.0,1.8,24.099999999999998,100.0,2025-09-06 21:15:11,,
CoLA,cola_11,John was lots more obnoxious than Fred.,This sentence is grammatically acceptable: 'John was lots more obnoxious than Fred.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,97.5996938935273,2025-09-06 21:15:11,,
CoLA,cola_12,"The more people you give beer to, the more people get sick.","This sentence is grammatically acceptable: 'The more people you give beer to, the more people get sick.'. It follows standard English syntax and semantic rules.",1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,96.5447505492669,2025-09-06 21:15:11,,
CoLA,cola_13,"The more does Bill smoke, the more Susan hates him.","This sentence has grammatical issues: 'The more does Bill smoke, the more Susan hates him.'. It violates standard linguistic rules.",0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_14,"The more pictures of him that appear in the news, the more embarrassed John becomes.","This sentence is grammatically acceptable: 'The more pictures of him that appear in the news, the more embarrassed John becomes.'. It follows standard English syntax and semantic rules.",1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_15,"Every senator seems to become more corrupt, as he talks to more lobbyists.","This sentence is grammatically acceptable: 'Every senator seems to become more corrupt, as he talks to more lobbyists.'. It follows standard English syntax and semantic rules.",1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_16,Who does John visit Sally because he likes?,This sentence has grammatical issues: 'Who does John visit Sally because he likes?'. It violates standard linguistic rules.,0,1.9,1.0,1.0,1.0,1.0,24.500000000000004,100.0,2025-09-06 21:15:11,,
CoLA,cola_17,Marianne did not leave.,This sentence is grammatically acceptable: 'Marianne did not leave.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_18,He could not] have been working.,This sentence is grammatically acceptable: 'He could not] have been working.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_19,He can not have been working.,This sentence is grammatically acceptable: 'He can not have been working.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_20,You will believe Bob.,This sentence is grammatically acceptable: 'You will believe Bob.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_21,John has not kissed Mary.,This sentence is grammatically acceptable: 'John has not kissed Mary.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_22,I said that never in my life had I seen a place like Bangor.,This sentence is grammatically acceptable: 'I said that never in my life had I seen a place like Bangor.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_23,Mickey looked up it.,This sentence has grammatical issues: 'Mickey looked up it.'. It violates standard linguistic rules.,0,1.5,1.0,1.0,1.0,1.0,22.5,97.5534664137684,2025-09-06 21:15:11,,
CoLA,cola_24,There tended to be a lot of discussion.,This sentence is grammatically acceptable: 'There tended to be a lot of discussion.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_25,John tried to be a good boy.,This sentence is grammatically acceptable: 'John tried to be a good boy.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_26,John is eager.,This sentence is grammatically acceptable: 'John is eager.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_27,We want John to win.,This sentence is grammatically acceptable: 'We want John to win.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_28,The box contained the ball from the tree.,This sentence has grammatical issues: 'The box contained the ball from the tree.'. It violates standard linguistic rules.,0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_29,The tube was escaped by gas.,This sentence has grammatical issues: 'The tube was escaped by gas.'. It violates standard linguistic rules.,0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_30,Water bubbled up out of the kettle.,This sentence is grammatically acceptable: 'Water bubbled up out of the kettle.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_31,The tub leaked water.,This sentence is grammatically acceptable: 'The tub leaked water.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,98.21402069598525,2025-09-06 21:15:11,,
CoLA,cola_32,What the water did to the bottle was fill it.,This sentence has grammatical issues: 'What the water did to the bottle was fill it.'. It violates standard linguistic rules.,0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_33,What the water did to the whole bottle was fill it.,This sentence has grammatical issues: 'What the water did to the whole bottle was fill it.'. It violates standard linguistic rules.,0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_34,The tank leaked the fluid free.,This sentence is grammatically acceptable: 'The tank leaked the fluid free.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,95.8448658569955,2025-09-06 21:15:11,,
CoLA,cola_35,John lay the ball in the box.,This sentence is grammatically acceptable: 'John lay the ball in the box.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_36,John owns the book.,This sentence is grammatically acceptable: 'John owns the book.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_37,We persuaded Mary to leave and Sue to stay.,This sentence is grammatically acceptable: 'We persuaded Mary to leave and Sue to stay.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_38,"Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.","This sentence is grammatically acceptable: 'Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.'. It follows standard English syntax and semantic rules.",1,1.5,1.0,1.0,1.0,1.8,24.099999999999998,100.0,2025-09-06 21:15:11,,
CoLA,cola_39,Mary beautifully plays the violin.,This sentence has grammatical issues: 'Mary beautifully plays the violin.'. It violates standard linguistic rules.,0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_40,"Clearly, John probably will immediately learn French perfectly.","This sentence is grammatically acceptable: 'Clearly, John probably will immediately learn French perfectly.'. It follows standard English syntax and semantic rules.",1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_41,Sue gave to Bill a book.,This sentence has grammatical issues: 'Sue gave to Bill a book.'. It violates standard linguistic rules.,0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_42,The men will all leave.,This sentence is grammatically acceptable: 'The men will all leave.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_43,John went home.,This sentence is grammatically acceptable: 'John went home.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_44,They represented seriously to the dean Mary as a genuine linguist.,This sentence has grammatical issues: 'They represented seriously to the dean Mary as a genuine linguist.'. It violates standard linguistic rules.,0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_45,Us love they.,This sentence has grammatical issues: 'Us love they.'. It violates standard linguistic rules.,0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_46,It is nice to go abroad.,This sentence is grammatically acceptable: 'It is nice to go abroad.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_47,Mary intended John to go abroad.,This sentence has grammatical issues: 'Mary intended John to go abroad.'. It violates standard linguistic rules.,0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_48,I remembered having kissed Mary.,This sentence is grammatically acceptable: 'I remembered having kissed Mary.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_49,"I can't believe Fred won't, either.","This sentence is grammatically acceptable: 'I can't believe Fred won't, either.'. It follows standard English syntax and semantic rules.",1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_50,"John wants to read Fred's story, and I also want to.","This sentence is grammatically acceptable: 'John wants to read Fred's story, and I also want to.'. It follows standard English syntax and semantic rules.",1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_51,"We wanted to invite someone, but we couldn't decide who to.","This sentence has grammatical issues: 'We wanted to invite someone, but we couldn't decide who to.'. It violates standard linguistic rules.",0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_52,"Mary will read Fred's story, and Joe will read Holly's.","This sentence is grammatically acceptable: 'Mary will read Fred's story, and Joe will read Holly's.'. It follows standard English syntax and semantic rules.",1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_53,"Mary claimed that eating cabbage, Holly shouldn't.","This sentence is grammatically acceptable: 'Mary claimed that eating cabbage, Holly shouldn't.'. It follows standard English syntax and semantic rules.",1,1.5,1.0,1.0,1.0,1.8,24.099999999999998,100.0,2025-09-06 21:15:11,,
CoLA,cola_54,Mary came to be introduced by the bartender and I also came to be.,This sentence has grammatical issues: 'Mary came to be introduced by the bartender and I also came to be.'. It violates standard linguistic rules.,0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_55,"If I can, I will work on it.","This sentence is grammatically acceptable: 'If I can, I will work on it.'. It follows standard English syntax and semantic rules.",1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_56,"Joe's neuroses bother his patrons, and Sally does too.","This sentence is grammatically acceptable: 'Joe's neuroses bother his patrons, and Sally does too.'. It follows standard English syntax and semantic rules.",1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_57,"I know which book José didn't read for class, and which book Lilly did it for him.","This sentence has grammatical issues: 'I know which book José didn't read for class, and which book Lilly did it for him.'. It violates standard linguistic rules.",0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_58,"This is the book which Bob reviewed, and this is the one which Fred won't do it.","This sentence has grammatical issues: 'This is the book which Bob reviewed, and this is the one which Fred won't do it.'. It violates standard linguistic rules.",0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_59,"I know which book Mag read, and which book Bob said that you hadn't.","This sentence is grammatically acceptable: 'I know which book Mag read, and which book Bob said that you hadn't.'. It follows standard English syntax and semantic rules.",1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_60,"I know which book Mag read, and which book Bob read my report that you hadn't.","This sentence has grammatical issues: 'I know which book Mag read, and which book Bob read my report that you hadn't.'. It violates standard linguistic rules.",0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_61,I'm sure I would like him to eat fruit more than I would cookies.,This sentence is grammatically acceptable: 'I'm sure I would like him to eat fruit more than I would cookies.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_62,Rusty talked about himself only after Mary did talk about him.,This sentence is grammatically acceptable: 'Rusty talked about himself only after Mary did talk about him.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,89.83727059297412,2025-09-06 21:15:11,,
CoLA,cola_63,Fred talked about everything before Rusty did talk about something.,This sentence is grammatically acceptable: 'Fred talked about everything before Rusty did talk about something.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_64,John often meets Mary.,This sentence is grammatically acceptable: 'John often meets Mary.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,93.58538931716387,2025-09-06 21:15:11,,
CoLA,cola_65,The problem perceives easily.,This sentence has grammatical issues: 'The problem perceives easily.'. It violates standard linguistic rules.,0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_66,A hundred men surrounded the fort.,This sentence is grammatically acceptable: 'A hundred men surrounded the fort.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_67,We elected me.,This sentence is grammatically acceptable: 'We elected me.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,87.68465645734882,2025-09-06 21:15:11,,
CoLA,cola_68,Which report that John was incompetent did he submit?,This sentence has grammatical issues: 'Which report that John was incompetent did he submit?'. It violates standard linguistic rules.,0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_69,Mary has always preferred lemons to limes.,This sentence is grammatically acceptable: 'Mary has always preferred lemons to limes.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_70,He let the cats which were whining out.,This sentence is grammatically acceptable: 'He let the cats which were whining out.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_71,What did Bill buy?,This sentence is grammatically acceptable: 'What did Bill buy?'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_72,Mary saw the boy walking toward the railroad station.,This sentence is grammatically acceptable: 'Mary saw the boy walking toward the railroad station.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_73,A proof that the claim had been. made was giver that John had lied.,This sentence has grammatical issues: 'A proof that the claim had been. made was giver that John had lied.'. It violates standard linguistic rules.,0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_74,He attributed to a short circuit which was caused by an overloaded transducer the fire which destroyed most of my factory.,This sentence is grammatically acceptable: 'He attributed to a short circuit which was caused by an overloaded transducer the fire which destroyed most of my factory.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_75,The mayor regarded as being absurd the proposal to build a sidewalk from Dartmouth to Smith.,This sentence has grammatical issues: 'The mayor regarded as being absurd the proposal to build a sidewalk from Dartmouth to Smith.'. It violates standard linguistic rules.,0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_76,I want that Bill left to remain a secret.,This sentence has grammatical issues: 'I want that Bill left to remain a secret.'. It violates standard linguistic rules.,0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_77,I know a man who Tom drives as drives.,This sentence has grammatical issues: 'I know a man who Tom drives as drives.'. It violates standard linguistic rules.,0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_78,"Drowning cats, which is against the law, are hard to rescue.","This sentence has grammatical issues: 'Drowning cats, which is against the law, are hard to rescue.'. It violates standard linguistic rules.",0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_79,Muriel said nothing else than that she had been insulted.,This sentence is grammatically acceptable: 'Muriel said nothing else than that she had been insulted.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_80,Himself is understood by Rutherford.,This sentence has grammatical issues: 'Himself is understood by Rutherford.'. It violates standard linguistic rules.,0,1.5,1.0,1.0,1.0,1.0,22.5,99.68611768482145,2025-09-06 21:15:11,,
CoLA,cola_81,I feel that Arch will show up.,This sentence is grammatically acceptable: 'I feel that Arch will show up.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,84.14970833972534,2025-09-06 21:15:11,,
CoLA,cola_82,The proof this set is recursive is difficult.,This sentence has grammatical issues: 'The proof this set is recursive is difficult.'. It violates standard linguistic rules.,0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_83,The madrigals which Henry plays the lute and sings sound lousy.,This sentence has grammatical issues: 'The madrigals which Henry plays the lute and sings sound lousy.'. It violates standard linguistic rules.,0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_84,"Tom picked these grapes, and I washed some turnips, and Suzie will prepare these grapes.","This sentence is grammatically acceptable: 'Tom picked these grapes, and I washed some turnips, and Suzie will prepare these grapes.'. It follows standard English syntax and semantic rules.",1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_85,Where did you go and who ate what?,This sentence is grammatically acceptable: 'Where did you go and who ate what?'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_86,Which boy's did we elect guardian's employer president?,This sentence has grammatical issues: 'Which boy's did we elect guardian's employer president?'. It violates standard linguistic rules.,0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_87,How sane is Peter?,This sentence is grammatically acceptable: 'How sane is Peter?'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_88,I live at the place where Route 150 crosses the River and my dad lives at the place where Route 150 crosses the Hudson River too.,This sentence is grammatically acceptable: 'I live at the place where Route 150 crosses the River and my dad lives at the place where Route 150 crosses the Hudson River too.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_89,I live at the place where Route 150 crosses the Hudson River and my dad lives at it too.,This sentence has grammatical issues: 'I live at the place where Route 150 crosses the Hudson River and my dad lives at it too.'. It violates standard linguistic rules.,0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_90,Who is she trying to make up to now?,This sentence is grammatically acceptable: 'Who is she trying to make up to now?'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_91,Wind was gotten of a plot to negotiate an honorable end to the war in Vietnam.,This sentence has grammatical issues: 'Wind was gotten of a plot to negotiate an honorable end to the war in Vietnam.'. It violates standard linguistic rules.,0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_92,Mike talked about politics yesterday to my friends.,This sentence is grammatically acceptable: 'Mike talked about politics yesterday to my friends.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_93,It was expected by the reporters that the principal would fire some teacher.,This sentence is grammatically acceptable: 'It was expected by the reporters that the principal would fire some teacher.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_94,Which hat did Mike quip that she never wore?,This sentence has grammatical issues: 'Which hat did Mike quip that she never wore?'. It violates standard linguistic rules.,0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_95,Which girl did Mike quip never wore this hat?,This sentence has grammatical issues: 'Which girl did Mike quip never wore this hat?'. It violates standard linguistic rules.,0,1.5,1.0,1.0,1.0,1.0,22.5,100.0,2025-09-06 21:15:11,,
CoLA,cola_96,We donated wire for the convicts to build cages with.,This sentence is grammatically acceptable: 'We donated wire for the convicts to build cages with.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,92.93755949740216,2025-09-06 21:15:11,,
CoLA,cola_97,I won't have some money.,This sentence has grammatical issues: 'I won't have some money.'. It violates standard linguistic rules.,0,1.5,1.0,1.0,1.0,1.0,22.5,99.36263852415249,2025-09-06 21:15:11,,
CoLA,cola_98,Do you believe the claim that somebody was looking for something?,This sentence is grammatically acceptable: 'Do you believe the claim that somebody was looking for something?'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
CoLA,cola_99,I won't ask you to believe that he tried to force me to give her any money.,This sentence is grammatically acceptable: 'I won't ask you to believe that he tried to force me to give her any money.'. It follows standard English syntax and semantic rules.,1,1.5,1.0,1.0,1.0,1.4,23.299999999999997,100.0,2025-09-06 21:15:11,,
XNLI,xnli_0,,"Analyzing the relationship between premise and hypothesis: The premise states 'Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.' and the hypothesis states 'I havent spoken to him again.'. Based on logical analysis, this represents contradiction.",2,1.9,1.6,1.0,1.7,1.0,30.300000000000004,100.0,2025-09-06 21:15:27,"Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.",I havent spoken to him again.
XNLI,xnli_1,,"Analyzing the relationship between premise and hypothesis: The premise states 'Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.' and the hypothesis states 'I was so upset that I just started talking to him again.'. Based on logical analysis, this represents entailment.",0,1.9,1.6,1.0,1.7,1.0,30.300000000000004,100.0,2025-09-06 21:15:27,"Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.",I was so upset that I just started talking to him again.
XNLI,xnli_2,,"Analyzing the relationship between premise and hypothesis: The premise states 'Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.' and the hypothesis states 'We had a great talk.'. Based on logical analysis, this represents neutral.",1,1.9,1.6,1.0,1.7,1.0,30.300000000000004,100.0,2025-09-06 21:15:27,"Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.",We had a great talk.
XNLI,xnli_3,,"Analyzing the relationship between premise and hypothesis: The premise states 'And I thought that was a privilege, and it's still, it's still, I was the only nine two-two Ex-O which was my AFFC Air Force Career field.' and the hypothesis states 'I was not aware that I was not the only person to be at the field that day.'. Based on logical analysis, this represents neutral.",1,1.9,1.6,1.0,1.7,1.0,30.300000000000004,94.34411871390313,2025-09-06 21:15:27,"And I thought that was a privilege, and it's still, it's still, I was the only nine two-two Ex-O which was my AFFC Air Force Career field.",I was not aware that I was not the only person to be at the field that day.
XNLI,xnli_4,,"Analyzing the relationship between premise and hypothesis: The premise states 'And I thought that was a privilege, and it's still, it's still, I was the only nine two-two Ex-O which was my AFFC Air Force Career field.' and the hypothesis states 'I was under the impression that I was the only one with that number at the AFFC Air Force Career field.'. Based on logical analysis, this represents entailment.",0,1.9,1.6,1.0,1.7,1.0,30.300000000000004,100.0,2025-09-06 21:15:27,"And I thought that was a privilege, and it's still, it's still, I was the only nine two-two Ex-O which was my AFFC Air Force Career field.",I was under the impression that I was the only one with that number at the AFFC Air Force Career field.
