id,task_type,explanation_text,original_srta_score,ground_truth
original_030,CoLA,This sentence has grammatical issues: 'The tube was escaped by gas.'. It violates standard linguistic rules.,,
original_031,CoLA,This sentence is grammatically acceptable: 'Water bubbled up out of the kettle.'. It follows standard English syntax and semantic rules.,,
original_032,CoLA,This sentence is grammatically acceptable: 'The tub leaked water.'. It follows standard English syntax and semantic rules.,,
original_033,CoLA,This sentence has grammatical issues: 'What the water did to the bottle was fill it.'. It violates standard linguistic rules.,,
original_034,CoLA,This sentence has grammatical issues: 'What the water did to the whole bottle was fill it.'. It violates standard linguistic rules.,,
original_035,CoLA,This sentence is grammatically acceptable: 'The tank leaked the fluid free.'. It follows standard English syntax and semantic rules.,,
original_036,CoLA,This sentence is grammatically acceptable: 'John lay the ball in the box.'. It follows standard English syntax and semantic rules.,,
original_037,CoLA,This sentence is grammatically acceptable: 'John owns the book.'. It follows standard English syntax and semantic rules.,,
original_038,CoLA,This sentence is grammatically acceptable: 'We persuaded Mary to leave and Sue to stay.'. It follows standard English syntax and semantic rules.,,
original_039,CoLA,"This sentence is grammatically acceptable: 'Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.'. It follows standard English syntax and semantic rules.",,
original_040,CoLA,This sentence has grammatical issues: 'Mary beautifully plays the violin.'. It violates standard linguistic rules.,,
original_041,CoLA,"This sentence is grammatically acceptable: 'Clearly, John probably will immediately learn French perfectly.'. It follows standard English syntax and semantic rules.",,
original_042,CoLA,This sentence has grammatical issues: 'Sue gave to Bill a book.'. It violates standard linguistic rules.,,
original_043,CoLA,This sentence is grammatically acceptable: 'The men will all leave.'. It follows standard English syntax and semantic rules.,,
original_044,CoLA,This sentence is grammatically acceptable: 'John went home.'. It follows standard English syntax and semantic rules.,,
original_045,CoLA,This sentence has grammatical issues: 'They represented seriously to the dean Mary as a genuine linguist.'. It violates standard linguistic rules.,,
original_046,CoLA,This sentence has grammatical issues: 'Us love they.'. It violates standard linguistic rules.,,
original_047,CoLA,This sentence is grammatically acceptable: 'It is nice to go abroad.'. It follows standard English syntax and semantic rules.,,
original_048,CoLA,This sentence has grammatical issues: 'Mary intended John to go abroad.'. It violates standard linguistic rules.,,
original_049,CoLA,This sentence is grammatically acceptable: 'I remembered having kissed Mary.'. It follows standard English syntax and semantic rules.,,
original_050,CoLA,"This sentence is grammatically acceptable: 'I can't believe Fred won't, either.'. It follows standard English syntax and semantic rules.",,
original_051,CoLA,"This sentence is grammatically acceptable: 'John wants to read Fred's story, and I also want to.'. It follows standard English syntax and semantic rules.",,
original_052,CoLA,"This sentence has grammatical issues: 'We wanted to invite someone, but we couldn't decide who to.'. It violates standard linguistic rules.",,
original_053,CoLA,"This sentence is grammatically acceptable: 'Mary will read Fred's story, and Joe will read Holly's.'. It follows standard English syntax and semantic rules.",,
original_054,CoLA,"This sentence is grammatically acceptable: 'Mary claimed that eating cabbage, Holly shouldn't.'. It follows standard English syntax and semantic rules.",,
original_055,CoLA,This sentence has grammatical issues: 'Mary came to be introduced by the bartender and I also came to be.'. It violates standard linguistic rules.,,
original_056,CoLA,"This sentence is grammatically acceptable: 'If I can, I will work on it.'. It follows standard English syntax and semantic rules.",,
original_057,CoLA,"This sentence is grammatically acceptable: 'Joe's neuroses bother his patrons, and Sally does too.'. It follows standard English syntax and semantic rules.",,
original_058,CoLA,"This sentence has grammatical issues: 'I know which book José didn't read for class, and which book Lilly did it for him.'. It violates standard linguistic rules.",,
original_059,CoLA,"This sentence has grammatical issues: 'This is the book which Bob reviewed, and this is the one which Fred won't do it.'. It violates standard linguistic rules.",,
original_060,CoLA,"This sentence is grammatically acceptable: 'I know which book Mag read, and which book Bob said that you hadn't.'. It follows standard English syntax and semantic rules.",,
original_061,CoLA,"This sentence has grammatical issues: 'I know which book Mag read, and which book Bob read my report that you hadn't.'. It violates standard linguistic rules.",,
original_062,CoLA,This sentence is grammatically acceptable: 'I'm sure I would like him to eat fruit more than I would cookies.'. It follows standard English syntax and semantic rules.,,
original_063,CoLA,This sentence is grammatically acceptable: 'Rusty talked about himself only after Mary did talk about him.'. It follows standard English syntax and semantic rules.,,
original_064,CoLA,This sentence is grammatically acceptable: 'Fred talked about everything before Rusty did talk about something.'. It follows standard English syntax and semantic rules.,,
original_065,CoLA,This sentence is grammatically acceptable: 'John often meets Mary.'. It follows standard English syntax and semantic rules.,,
original_066,CoLA,This sentence has grammatical issues: 'The problem perceives easily.'. It violates standard linguistic rules.,,
original_067,CoLA,This sentence is grammatically acceptable: 'A hundred men surrounded the fort.'. It follows standard English syntax and semantic rules.,,
original_068,CoLA,This sentence is grammatically acceptable: 'We elected me.'. It follows standard English syntax and semantic rules.,,
original_069,CoLA,This sentence has grammatical issues: 'Which report that John was incompetent did he submit?'. It violates standard linguistic rules.,,
original_070,CoLA,This sentence is grammatically acceptable: 'Mary has always preferred lemons to limes.'. It follows standard English syntax and semantic rules.,,
original_071,CoLA,This sentence is grammatically acceptable: 'He let the cats which were whining out.'. It follows standard English syntax and semantic rules.,,
original_072,CoLA,This sentence is grammatically acceptable: 'What did Bill buy?'. It follows standard English syntax and semantic rules.,,
original_073,CoLA,This sentence is grammatically acceptable: 'Mary saw the boy walking toward the railroad station.'. It follows standard English syntax and semantic rules.,,
original_074,CoLA,This sentence has grammatical issues: 'A proof that the claim had been. made was giver that John had lied.'. It violates standard linguistic rules.,,
original_075,CoLA,This sentence is grammatically acceptable: 'He attributed to a short circuit which was caused by an overloaded transducer the fire which destroyed most of my factory.'. It follows standard English syntax and semantic rules.,,
original_076,CoLA,This sentence has grammatical issues: 'The mayor regarded as being absurd the proposal to build a sidewalk from Dartmouth to Smith.'. It violates standard linguistic rules.,,
original_077,CoLA,This sentence has grammatical issues: 'I want that Bill left to remain a secret.'. It violates standard linguistic rules.,,
original_078,CoLA,This sentence has grammatical issues: 'I know a man who Tom drives as drives.'. It violates standard linguistic rules.,,
original_079,CoLA,"This sentence has grammatical issues: 'Drowning cats, which is against the law, are hard to rescue.'. It violates standard linguistic rules.",,
original_080,CoLA,This sentence is grammatically acceptable: 'Muriel said nothing else than that she had been insulted.'. It follows standard English syntax and semantic rules.,,
original_081,CoLA,This sentence has grammatical issues: 'Himself is understood by Rutherford.'. It violates standard linguistic rules.,,
original_082,CoLA,This sentence is grammatically acceptable: 'I feel that Arch will show up.'. It follows standard English syntax and semantic rules.,,
original_083,CoLA,This sentence has grammatical issues: 'The proof this set is recursive is difficult.'. It violates standard linguistic rules.,,
original_084,CoLA,This sentence has grammatical issues: 'The madrigals which Henry plays the lute and sings sound lousy.'. It violates standard linguistic rules.,,
original_085,CoLA,"This sentence is grammatically acceptable: 'Tom picked these grapes, and I washed some turnips, and Suzie will prepare these grapes.'. It follows standard English syntax and semantic rules.",,
original_086,CoLA,This sentence is grammatically acceptable: 'Where did you go and who ate what?'. It follows standard English syntax and semantic rules.,,
original_087,CoLA,This sentence has grammatical issues: 'Which boy's did we elect guardian's employer president?'. It violates standard linguistic rules.,,
original_088,CoLA,This sentence is grammatically acceptable: 'How sane is Peter?'. It follows standard English syntax and semantic rules.,,
original_089,CoLA,This sentence is grammatically acceptable: 'I live at the place where Route 150 crosses the River and my dad lives at the place where Route 150 crosses the Hudson River too.'. It follows standard English syntax and semantic rules.,,
original_090,CoLA,This sentence has grammatical issues: 'I live at the place where Route 150 crosses the Hudson River and my dad lives at it too.'. It violates standard linguistic rules.,,
original_091,CoLA,This sentence is grammatically acceptable: 'Who is she trying to make up to now?'. It follows standard English syntax and semantic rules.,,
original_092,CoLA,This sentence has grammatical issues: 'Wind was gotten of a plot to negotiate an honorable end to the war in Vietnam.'. It violates standard linguistic rules.,,
original_093,CoLA,This sentence is grammatically acceptable: 'Mike talked about politics yesterday to my friends.'. It follows standard English syntax and semantic rules.,,
original_094,CoLA,This sentence is grammatically acceptable: 'It was expected by the reporters that the principal would fire some teacher.'. It follows standard English syntax and semantic rules.,,
original_095,CoLA,This sentence has grammatical issues: 'Which hat did Mike quip that she never wore?'. It violates standard linguistic rules.,,
original_096,CoLA,This sentence has grammatical issues: 'Which girl did Mike quip never wore this hat?'. It violates standard linguistic rules.,,
original_097,CoLA,This sentence is grammatically acceptable: 'We donated wire for the convicts to build cages with.'. It follows standard English syntax and semantic rules.,,
original_098,CoLA,This sentence has grammatical issues: 'I won't have some money.'. It violates standard linguistic rules.,,
original_099,CoLA,This sentence is grammatically acceptable: 'Do you believe the claim that somebody was looking for something?'. It follows standard English syntax and semantic rules.,,
original_100,CoLA,This sentence is grammatically acceptable: 'I won't ask you to believe that he tried to force me to give her any money.'. It follows standard English syntax and semantic rules.,,
original_101,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.' and the hypothesis states 'I havent spoken to him again.'. Based on logical analysis, this represents contradiction.",,
original_102,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.' and the hypothesis states 'I was so upset that I just started talking to him again.'. Based on logical analysis, this represents entailment.",,
original_103,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.' and the hypothesis states 'We had a great talk.'. Based on logical analysis, this represents neutral.",,
original_104,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'And I thought that was a privilege, and it's still, it's still, I was the only nine two-two Ex-O which was my AFFC Air Force Career field.' and the hypothesis states 'I was not aware that I was not the only person to be at the field that day.'. Based on logical analysis, this represents neutral.",,
original_105,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'And I thought that was a privilege, and it's still, it's still, I was the only nine two-two Ex-O which was my AFFC Air Force Career field.' and the hypothesis states 'I was under the impression that I was the only one with that number at the AFFC Air Force Career field.'. Based on logical analysis, this represents entailment.",,
original_106,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'And I thought that was a privilege, and it's still, it's still, I was the only nine two-two Ex-O which was my AFFC Air Force Career field.' and the hypothesis states 'We all were given the same exact number no matter what privileges we were promised to be granted, it was all a lie.'. Based on logical analysis, this represents contradiction.",,
original_107,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'They told me that, uh, that I would be called in a guy at the end for me to meet.' and the hypothesis states 'I was never told anything about meeting anyone.'. Based on logical analysis, this represents contradiction.",,
original_108,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'They told me that, uh, that I would be called in a guy at the end for me to meet.' and the hypothesis states 'I was told a guy would be called in for me to meet.'. Based on logical analysis, this represents entailment.",,
original_109,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'They told me that, uh, that I would be called in a guy at the end for me to meet.' and the hypothesis states 'The guy showed up a bit late.'. Based on logical analysis, this represents neutral.",,
original_110,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'There's so much you could talk about on that I'll just skip that.' and the hypothesis states 'I want to tell you everything I know about that!'. Based on logical analysis, this represents contradiction.",,
original_111,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'There's so much you could talk about on that I'll just skip that.' and the hypothesis states 'I won't talk about that, even though there's a lot to cover.'. Based on logical analysis, this represents entailment.",,
original_112,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'There's so much you could talk about on that I'll just skip that.' and the hypothesis states 'I wont talk about the history of the city because there's too much to say.'. Based on logical analysis, this represents neutral.",,
original_113,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'That was the primary thing we wanted to save since there wasn't any way to dump a 20-megaton H-bomb off a 30, a C124.' and the hypothesis states 'We didn't care about saving anything.'. Based on logical analysis, this represents contradiction.",,
original_114,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'That was the primary thing we wanted to save since there wasn't any way to dump a 20-megaton H-bomb off a 30, a C124.' and the hypothesis states 'We wanted to save one thing more than the rest.'. Based on logical analysis, this represents entailment.",,
original_115,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'That was the primary thing we wanted to save since there wasn't any way to dump a 20-megaton H-bomb off a 30, a C124.' and the hypothesis states 'We wanted to save the h-bomb because it was so hard to deal with.'. Based on logical analysis, this represents neutral.",,
original_116,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'So I'm not really sure why.' and the hypothesis states 'I am certain as to the reason why.'. Based on logical analysis, this represents contradiction.",,
original_117,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'So I'm not really sure why.' and the hypothesis states 'I don't know why he transferred schools.'. Based on logical analysis, this represents neutral.",,
original_118,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'So I'm not really sure why.' and the hypothesis states 'I don't know why that happened.'. Based on logical analysis, this represents entailment.",,
original_119,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'This is Fannie Flono, and she grew up in Ag-- Augusta, GA, and she is going to talk about some stories from her childhood.' and the hypothesis states 'Fannie Flono had to reschedule and is unable to tell us any stories today.'. Based on logical analysis, this represents contradiction.",,
original_120,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'This is Fannie Flono, and she grew up in Ag-- Augusta, GA, and she is going to talk about some stories from her childhood.' and the hypothesis states 'Fannie Flono is here and she is going to speak to us about her childhood stories from growing up in Augusta, GA.'. Based on logical analysis, this represents entailment.",,
original_121,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'This is Fannie Flono, and she grew up in Ag-- Augusta, GA, and she is going to talk about some stories from her childhood.' and the hypothesis states 'Fannie Flono was able to speak to us today despite her busy schedule.'. Based on logical analysis, this represents neutral.",,
original_122,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'And I had put uh, five detachments out of U2's.' and the hypothesis states 'I dealt with the U2's.'. Based on logical analysis, this represents entailment.",,
original_123,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'And I had put uh, five detachments out of U2's.' and the hypothesis states 'I didn't' deal with the U2's at all.'. Based on logical analysis, this represents contradiction.",,
original_124,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'And I had put uh, five detachments out of U2's.' and the hypothesis states 'I worked with the detachments for the U2's every day for forty years.'. Based on logical analysis, this represents neutral.",,
original_125,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'I was the only one that uh, ever run the regulators for the, the test in the miniature altitude chambers.' and the hypothesis states 'I didn't like being the only one to run the regulators for the tests.'. Based on logical analysis, this represents neutral.",,
original_126,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'I was the only one that uh, ever run the regulators for the, the test in the miniature altitude chambers.' and the hypothesis states 'Tests were done in the miniature altitude chambers.'. Based on logical analysis, this represents entailment.",,
original_127,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'I was the only one that uh, ever run the regulators for the, the test in the miniature altitude chambers.' and the hypothesis states 'There were a few of us who ran the regulators for the test.'. Based on logical analysis, this represents contradiction.",,
original_128,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'I'm uh, Chief Master Sergeant, retired, as Rick said.' and the hypothesis states 'I am still working to this day.'. Based on logical analysis, this represents contradiction.",,
original_129,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'I'm uh, Chief Master Sergeant, retired, as Rick said.' and the hypothesis states 'I retired in 2002.'. Based on logical analysis, this represents neutral.",,
original_130,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'I'm uh, Chief Master Sergeant, retired, as Rick said.' and the hypothesis states 'Rick told you I was retired.'. Based on logical analysis, this represents entailment.",,
original_131,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'There's some cash flow projections on my desk and, um, uh, it's for such and such Cutty, that's the client's name.' and the hypothesis states 'The client named Cutty makes $10000 a month.'. Based on logical analysis, this represents neutral.",,
original_132,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'There's some cash flow projections on my desk and, um, uh, it's for such and such Cutty, that's the client's name.' and the hypothesis states 'There is a client named Cutty.'. Based on logical analysis, this represents entailment.",,
original_133,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'There's some cash flow projections on my desk and, um, uh, it's for such and such Cutty, that's the client's name.' and the hypothesis states 'We don't have any clients called Cutty.'. Based on logical analysis, this represents contradiction.",,
original_134,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'The girl that can help me is all the way across town.' and the hypothesis states 'The girl I need help from lives a ways away.'. Based on logical analysis, this represents entailment.",,
original_135,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'The girl that can help me is all the way across town.' and the hypothesis states 'The girl who is going to help me is 5 miles away.'. Based on logical analysis, this represents neutral.",,
original_136,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'The girl that can help me is all the way across town.' and the hypothesis states 'There is no one who can help me.'. Based on logical analysis, this represents contradiction.",,
original_137,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'But they were divided about like who were the field hands and who were the house kids, it was kind of--' and the hypothesis states 'They all agreed that they'd all work in the fields.'. Based on logical analysis, this represents contradiction.",,
original_138,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'But they were divided about like who were the field hands and who were the house kids, it was kind of--' and the hypothesis states 'They couldn't agree about who was a field hand and who belonged in the house.'. Based on logical analysis, this represents entailment.",,
original_139,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'But they were divided about like who were the field hands and who were the house kids, it was kind of--' and the hypothesis states 'They couldn't agree who should work in the cotton field and who should mop the floors.'. Based on logical analysis, this represents neutral.",,
original_140,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'Today he is going to talk to us about the Third SS, the U2 Quick and the Blackbird.' and the hypothesis states 'He has decided not to talk anymore.'. Based on logical analysis, this represents contradiction.",,
original_141,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'Today he is going to talk to us about the Third SS, the U2 Quick and the Blackbird.' and the hypothesis states 'He talks about three different submarines.'. Based on logical analysis, this represents neutral.",,
original_142,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'Today he is going to talk to us about the Third SS, the U2 Quick and the Blackbird.' and the hypothesis states 'He talks about three things.'. Based on logical analysis, this represents entailment.",,
original_143,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'I mean they only had, like, they had five children, one of them died.' and the hypothesis states 'All of their children survived.'. Based on logical analysis, this represents contradiction.",,
original_144,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'I mean they only had, like, they had five children, one of them died.' and the hypothesis states 'One child died out of the five.'. Based on logical analysis, this represents entailment.",,
original_145,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'I mean they only had, like, they had five children, one of them died.' and the hypothesis states 'The child who died was born sickly.'. Based on logical analysis, this represents neutral.",,
original_146,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'And, of course, Androv Gromikov didn't answer anything, but we had all the information from the films the U2 had taken.' and the hypothesis states 'The U2 took a lot of film.'. Based on logical analysis, this represents entailment.",,
original_147,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'And, of course, Androv Gromikov didn't answer anything, but we had all the information from the films the U2 had taken.' and the hypothesis states 'The U2 took a ton of film from under the water.'. Based on logical analysis, this represents neutral.",,
original_148,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'And, of course, Androv Gromikov didn't answer anything, but we had all the information from the films the U2 had taken.' and the hypothesis states 'We had no footage, so we just had to guess.'. Based on logical analysis, this represents contradiction.",,
original_149,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'She said there were just tears coming down from her eyes and she said, then she said Joe came up on the porch.' and the hypothesis states 'As she told him to come up the porch she had tears in her eyes.'. Based on logical analysis, this represents entailment.",,
original_150,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'She said there were just tears coming down from her eyes and she said, then she said Joe came up on the porch.' and the hypothesis states 'She quickly wiped away the tears after flinging Joe off the porch.'. Based on logical analysis, this represents contradiction.",,
original_151,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'She said there were just tears coming down from her eyes and she said, then she said Joe came up on the porch.' and the hypothesis states 'She was so happy to see Joe that she started to cry.'. Based on logical analysis, this represents neutral.",,
original_152,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'Even if the aircraft was on fire, why it, it would uh, burn and it would melt through a lead component for the radiation to leak out.' and the hypothesis states 'The radiation can be contained during a fire as well.'. Based on logical analysis, this represents neutral.",,
original_153,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'Even if the aircraft was on fire, why it, it would uh, burn and it would melt through a lead component for the radiation to leak out.' and the hypothesis states 'The radiation would leak out from a lead component after the aircraft burned.'. Based on logical analysis, this represents entailment.",,
original_154,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'Even if the aircraft was on fire, why it, it would uh, burn and it would melt through a lead component for the radiation to leak out.' and the hypothesis states 'The radiation would not leak out during a fire.'. Based on logical analysis, this represents contradiction.",,
original_155,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'This is Chief Master Sergeant Clem Francis, retired from the US Air Force.' and the hypothesis states 'The Chief is retired from the US Air Force.'. Based on logical analysis, this represents entailment.",,
original_156,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'This is Chief Master Sergeant Clem Francis, retired from the US Air Force.' and the hypothesis states 'The Chief just recently retired a few weeks ago.'. Based on logical analysis, this represents neutral.",,
original_157,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'This is Chief Master Sergeant Clem Francis, retired from the US Air Force.' and the hypothesis states 'The US Air Force Chief just started his career this week.'. Based on logical analysis, this represents contradiction.",,
original_158,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'Well it got to where there's two or three aircraft arrive in a week and I didn't know where they're flying to.' and the hypothesis states 'More than one aircraft arrive every week.'. Based on logical analysis, this represents entailment.",,
original_159,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'Well it got to where there's two or three aircraft arrive in a week and I didn't know where they're flying to.' and the hypothesis states 'The increased aircraft traffic is troublesome.'. Based on logical analysis, this represents neutral.",,
original_160,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'Well it got to where there's two or three aircraft arrive in a week and I didn't know where they're flying to.' and the hypothesis states 'There are never any aircraft arriving.'. Based on logical analysis, this represents contradiction.",,
original_161,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'They had already had their training in the full pressure suits and it taken me a while if you go into full pressure suits.' and the hypothesis states 'It takes up to three months to complete training on the use of a full pressure suit.'. Based on logical analysis, this represents neutral.",,
original_162,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'They had already had their training in the full pressure suits and it taken me a while if you go into full pressure suits.' and the hypothesis states 'Training to use a full pressure suit takes time.'. Based on logical analysis, this represents entailment.",,
original_163,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'They had already had their training in the full pressure suits and it taken me a while if you go into full pressure suits.' and the hypothesis states 'We could have you trained to use a full pressure suit by the end of the day.'. Based on logical analysis, this represents contradiction.",,
original_164,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'I want to say that there wasn't any danger of going in with the bomb because it would not explode, regardless of how hard it hit the ground.' and the hypothesis states 'The bomb had been deactivated by the pilot.'. Based on logical analysis, this represents neutral.",,
original_165,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'I want to say that there wasn't any danger of going in with the bomb because it would not explode, regardless of how hard it hit the ground.' and the hypothesis states 'The bomb had no chance of exploding.'. Based on logical analysis, this represents entailment.",,
original_166,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'I want to say that there wasn't any danger of going in with the bomb because it would not explode, regardless of how hard it hit the ground.' and the hypothesis states 'There was a great danger of the bomb exploding.'. Based on logical analysis, this represents contradiction.",,
original_167,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'And how about it looks like exactly what I'm trying to do.' and the hypothesis states 'I'm not sure what this looks like to you.'. Based on logical analysis, this represents contradiction.",,
original_168,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'And how about it looks like exactly what I'm trying to do.' and the hypothesis states 'I'm trying to do this, obviously.'. Based on logical analysis, this represents entailment.",,
original_169,XNLI,"Analyzing the relationship between premise and hypothesis: The premise states 'And how about it looks like exactly what I'm trying to do.' and the hypothesis states 'I'm trying to finish my project in the next week.'. Based on logical analysis, this represents neutral.",,
